Time [s],Channel 5,Channel 6
12.598492800,0,1
12.623459360,0,0
12.623467840,1,0
12.648432800,0,0
12.648440800,0,1
12.673406560,0,0
12.673415200,1,0
12.698380640,0,0
12.698388480,0,1
12.723355360,0,0
12.723364000,1,0
12.748332160,0,0
12.748340160,0,1
12.773308000,0,0
12.773316640,1,0
12.798284480,0,0
12.798292480,0,1
12.823259040,0,0
12.823267840,1,0
12.848234240,0,0
12.848242400,0,1
12.873208800,0,0
12.873217440,1,0
12.898183680,0,0
12.898191840,0,1
12.923157600,0,0
12.923166240,1,0
12.948132960,0,0
12.948141120,0,1
12.973108000,0,0
12.973116800,1,0
12.998083360,0,0
12.998091520,0,1
13.023056800,0,0
13.023065600,1,0
13.048032800,0,0
13.048040800,0,1
13.073007840,0,0
13.073016640,1,0
13.097983200,0,0
13.097991200,0,1
13.122958560,0,0
13.122967200,1,0
13.134438080,0,0
13.159423520,1,0
13.172907840,0,0
13.172915840,0,1
13.197882240,0,0
13.197890880,1,0
13.222857920,0,0
13.222865920,0,1
13.247833120,0,0
13.247841920,1,0
13.272808320,0,0
13.272816320,0,1
13.297783200,0,0
13.297791840,1,0
13.322759200,0,0
13.322767200,0,1
13.347734560,0,0
13.347743200,1,0
13.372709600,0,0
13.372717760,0,1
13.397682400,0,0
13.397691040,1,0
13.422656640,0,0
13.422664640,0,1
13.447630880,0,0
13.447639520,1,0
13.472606240,0,0
13.472614240,0,1
13.497580960,0,0
13.497589760,1,0
13.522555840,0,0
13.522563840,0,1
13.547530240,0,0
13.547539040,1,0
13.572504960,0,0
13.572513120,0,1
13.597479040,0,0
13.597487680,1,0
13.622454240,0,0
13.622462400,0,1
13.647427840,0,0
13.647436640,1,0
13.672403200,0,0
13.672411200,0,1
13.697379040,0,0
13.697387840,1,0
13.722354080,0,0
13.722362240,0,1
13.747328800,0,0
13.747337600,1,0
13.772304000,0,0
13.772312160,0,1
13.797279200,0,0
13.797288000,1,0
13.822255680,0,0
13.822263840,0,1
13.847231040,0,0
13.847239840,1,0
13.872206560,0,0
13.872214560,0,1
13.897182080,0,0
13.897190720,1,0
13.922157440,0,0
13.922165440,0,1
13.947132160,0,0
13.947140960,1,0
13.972107200,0,0
13.972115200,0,1
13.997082080,0,0
13.997090880,1,0
14.022057120,0,0
14.022065280,0,1
14.047032160,0,0
14.047040800,1,0
14.072008000,0,0
14.072016000,0,1
14.096983200,0,0
14.096991840,1,0
14.121958400,0,0
14.121966560,0,1
14.133437600,0,0
14.158422720,0,1
14.171906720,0,0
14.171915520,1,0
14.196881920,0,0
14.196889920,0,1
14.221856160,0,0
14.221864800,1,0
14.246830400,0,0
14.246838240,0,1
14.271802880,0,0
14.271811360,1,0
14.296776000,0,0
14.296783840,0,1
14.321748480,0,0
14.321756960,1,0
14.346720960,0,0
14.346728800,0,1
14.371692640,0,0
14.371701120,1,0
14.396666720,0,0
14.396674560,0,1
14.421640960,0,0
14.421649600,1,0
14.446614720,0,0
14.446622560,0,1
14.471587200,0,0
14.471595840,1,0
14.496560480,0,0
14.496568320,0,1
14.521533600,0,0
14.521542240,1,0
14.546509280,0,0
14.546517120,0,1
14.571484000,0,0
14.571492480,1,0
14.596459840,0,0
14.596467680,0,1
14.621434560,0,0
14.621443040,1,0
14.646408640,0,0
14.646416640,0,1
14.671382240,0,0
14.671390720,1,0
14.696356960,0,0
14.696364800,0,1
14.721330400,0,0
14.721338880,1,0
14.746304800,0,0
14.746312800,0,1
14.771279360,0,0
14.771288000,1,0
14.796254720,0,0
14.796262720,0,1
14.821229600,0,0
14.821238400,1,0
14.846205920,0,0
14.846213920,0,1
14.871180800,0,0
14.871189600,1,0
14.896156000,0,0
14.896164000,0,1
14.921129600,0,0
14.921138400,1,0
14.946103680,0,0
14.946111680,0,1
14.971077920,0,0
14.971086560,1,0
14.996052320,0,0
14.996060320,0,1
15.021026880,0,0
15.021035680,1,0
15.046002880,0,0
15.046010880,0,1
15.070976320,0,0
15.070985120,1,0
15.095951040,0,0
15.095959200,0,1
15.120925120,0,0
15.120933920,1,0
15.132404800,0,0
15.157389120,1,0
15.170873600,0,0
15.170881760,0,1
15.195847680,0,0
15.195856320,1,0
15.220821600,0,0
15.220829600,0,1
15.245795840,0,0
15.245804640,1,0
15.270769920,0,0
15.270777760,0,1
15.295742720,0,0
15.295751360,1,0
15.320716160,0,0
15.320724000,0,1
15.345689280,0,0
15.345697760,1,0
15.370661920,0,0
15.370669760,0,1
15.395633600,0,0
15.395642240,1,0
15.420606720,0,0
15.420614560,0,1
15.445579200,0,0
15.445587680,1,0
15.470550880,0,0
15.470558720,0,1
15.495521760,0,0
15.495530240,1,0
15.520494560,0,0
15.520502400,0,1
15.545466880,0,0
15.545475360,1,0
15.570441440,0,0
15.570449440,0,1
15.595414720,0,0
